split,target_id,route_id,bridge_count,anchor_number,anchor_id
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,7ee028a9346fab3080e5659b,0,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,4a3248fef7081d9cdf29d398,1,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,2da27c00a5c5138302c76953,2,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,9f834a33e95d7573e7e870b0,3,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,b5b0720a0a6752763a1380c5,4,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,a6226a080ac801fe0095db7f,5,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qkwl35piu0993l0dewei2,dff0a8bc31e6c9a2d600b0aa,6,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,3c37188cb588fb4f34312b98,0,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,4e39b135101431ace3b2582b,1,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,ca8504be5338cfebe116cffb,2,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,7592d77d60c21553eea7f93f,3,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,c8020b75903d32afebc1f926,4,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,0c77e55c31d4ee9539488ab2,5,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qoxqj9q6s0835b43399p4,b0456146f70dde390061fc7b,6,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,a3fa89c7bcadf2424333ad50,0,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,906d30a2fe50c1fd45d08518,1,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,6c60f41d5b2bbfb879f6fe72,2,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,f5f07a4a88b31fe02cb20db2,3,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,79d5cbf318fca8e8d4e3f1fb,4,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,e8d6f9501041dc4fb6d89b93,5,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0qx73cjw570799j4n5cjze,7ec116ee19981a0af9abf814,6,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,8d45d93eca364ada1a98c5b6,0,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,e78bfea280ffb2234777dc56,1,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,27d8bf029ae49e184366419e,2,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,0d641ca4c5b23a05aefdeae0,3,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,a6f9ed17acf2b8f74389aa26,4,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
train,kvasir-seg::cju0roawvklrq0799vmjorwfv,bce08862d07c5766f07d4a0e,5,1,kvasir-seg::cju1c4fcu40hl07992b8gj0c8
